BY,outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper,breakdown
18-54,chosen,mm,Level,Child - £0; Adult - £63; Pensioner - £190,0.463655610444597,0.0130127722955006,35.6308094782319,4.6719457399102E-278,0.438151045406395,0.489160175482798,Age
18-54,chosen,mm,Level,Child - £41; Adult - £63; Pensioner - £190,0.472714386959609,0.0126584287817472,37.3438437826689,3.19134965200749E-305,0.447904322446519,0.497524451472699,Age
18-54,chosen,mm,Level,Child - £0; Adult - £145; Pensioner - £190,0.457282913165269,0.0128792261557492,35.505464974007,4.04788488392105E-276,0.432040093751254,0.482525732579284,Age
18-54,chosen,mm,Level,Child - £41; Adult - £145; Pensioner - £190,0.491039426523299,0.012645688419745,38.8305808449773,0,0.466254332660884,0.515824520385715,Age
18-54,chosen,mm,Level,Child - £63; Adult - £145; Pensioner - £190,0.508363636363633,0.0129086501536585,39.3816262980491,0,0.483063146973435,0.533664125753831,Age
18-54,chosen,mm,Level,Child - £63; Adult - £190; Pensioner - £190,0.54583921015515,0.0127412048501943,42.8404704714269,0,0.520866907529122,0.570811512781178,Age
18-54,chosen,mm,Level,Child - £95; Adult - £190; Pensioner - £230,0.509540636042411,0.0127427542767172,39.986695574395,0,0.484565296596202,0.534515975488621,Age
18-54,chosen,mm,Level,Child - £41; Adult - £230; Pensioner - £230,0.519690576652553,0.0129258522474589,40.20551733869,0,0.494356371778047,0.545024781527058,Age
18-54,chosen,mm,Level,Child - £95; Adult - £230; Pensioner - £230,0.53299492385785,0.0128291399583711,41.5456472988331,0,0.507850271586819,0.558139576128881,Age
18-54,chosen,mm,Tax,Basic rate - 20%; Higher rate - 40%; Additional rate - 45%,0.566850828729288,0.0119447643957547,47.4560074982099,0,0.543439520709792,0.590262136748783,Age
18-54,chosen,mm,Tax,Basic rate - 23%; Higher rate - 43%; Additional rate - 48%,0.561393805309748,0.0122036352329649,46.0021784159272,0,0.537475119772672,0.585312490846823,Age
18-54,chosen,mm,Tax,Basic rate - 30%; Higher rate - 50%; Additional rate - 60%,0.52895752895753,0.0110652352651907,47.8035501532931,0,0.507270066357294,0.550644991557767,Age
18-54,chosen,mm,Tax,Basic rate - 40%; Higher rate - 60%; Additional rate - 70%,0.507675438596482,0.0106998208618418,47.4470970263601,0,0.486704175066242,0.528646702126723,Age
18-54,chosen,mm,Tax,Basic rate - 48%; Higher rate - 68%; Additional rate - 78%,0.464146748193445,0.0120181958088918,38.6203349965425,0,0.440591517248867,0.487701979138023,Age
18-54,chosen,mm,Tax,Basic rate - 50%; Higher rate - 70%; Additional rate - 80%,0.456701599558729,0.0111354768611436,41.0132053843473,0,0.434876465960208,0.478526733157249,Age
18-54,chosen,mm,Tax,Basic rate - 65%; Higher rate - 85%; Additional rate - 95%,0.413273842721692,0.0123356317366296,33.5024465341738,4.44007917329004E-246,0.389096448791348,0.437451236652035,Age
18-54,chosen,mm,Funding,Removal of income tax-free personal allowance,0.468923418423972,0.0115021555645056,40.7683078005848,0,0.446379607772964,0.49146722907498,Age
18-54,chosen,mm,Funding,Increased government borrowing,0.474863387978144,0.0114785120013085,41.3697688275283,0,0.452365917859468,0.497360858096819,Age
18-54,chosen,mm,Funding,Corporation tax increase,0.524019878520154,0.0112605786929662,46.5357858426475,0,0.501949549836861,0.546090207203447,Age
18-54,chosen,mm,Funding,Tax for businesses based on carbon emissions,0.494689770821698,0.0114489607150007,43.2082686923316,0,0.472250220159883,0.517129321483513,Age
18-54,chosen,mm,Funding,Tax for individuals based on carbon emissions,0.486411536328346,0.0115813377178621,41.999598680051,0,0.463712531508541,0.509110541148151,Age
18-54,chosen,mm,Funding,Tax on wealth,0.559116022099501,0.0115646541889797,48.3469728504549,0,0.536449716395441,0.581782327803562,Age
18-54,chosen,mm,Funding,VAT increase,0.492011019283823,0.0113565512603326,43.3239817269503,0,0.469752587824988,0.514269450742657,Age
18-54,chosen,mm,Life.expectancy,0 more or less years on average,0.500000000000002,0.0108623319892994,46.0306314051674,0,0.478710220512858,0.521289779487146,Age
18-54,chosen,mm,Life.expectancy,5 fewer years on average,0.466446644664459,0.0116347704657353,40.090747474405,0,0.443642913583228,0.489250375745691,Age
18-54,chosen,mm,Life.expectancy,3 fewer years on average,0.478164731896073,0.0111668196218213,42.8201357315455,0,0.456278167615448,0.500051296176698,Age
18-54,chosen,mm,Life.expectancy,1 less year on average,0.510055865921806,0.0110707991548346,46.072181311235,0,0.488357498298254,0.531754233545358,Age
18-54,chosen,mm,Life.expectancy,1 more year on average,0.503854625550637,0.0114838497131041,43.8750626434701,0,0.481346693709082,0.526362557392191,Age
18-54,chosen,mm,Life.expectancy,3 more years on average,0.502780867630722,0.0115470338750411,43.5419929543535,0,0.480149097107377,0.525412638154066,Age
18-54,chosen,mm,Life.expectancy,5 more years on average,0.538377789874803,0.0108235480120213,49.7413407578411,0,0.517164025586301,0.559591554163305,Age
18-54,chosen,mm,Mental.health,Same number of cases,0.519600855310046,0.0126258777219816,41.1536422854328,0,0.494854589701755,0.544347120918336,Age
18-54,chosen,mm,Mental.health,50% fewer cases,0.561614730878178,0.0135453862997995,41.461699094288,0,0.535066261573889,0.588163200182467,Age
18-54,chosen,mm,Mental.health,25% fewer cases,0.505610098176717,0.0124058296622638,40.7558472058253,0,0.481295118840342,0.529925077513093,Age
18-54,chosen,mm,Mental.health,10% fewer cases,0.534148094895754,0.013381772752915,39.9160936864213,0,0.507920302250742,0.560375887540767,Age
18-54,chosen,mm,Mental.health,5% fewer cases,0.511428571428555,0.0125982583265585,40.5951805536808,0,0.486736438840569,0.536120704016542,Age
18-54,chosen,mm,Mental.health,5% more cases,0.505007153075813,0.0127592441852723,39.5797075236426,0,0.479999494002727,0.530014812148899,Age
18-54,chosen,mm,Mental.health,10% more cases,0.509298998569375,0.0130475417894407,39.0340959843905,0,0.48372628657529,0.53487171056346,Age
18-54,chosen,mm,Mental.health,25% more cases,0.464209780297653,0.0127173349279709,36.5021274446941,1.02603006545107E-291,0.439284261859497,0.489135298735809,Age
18-54,chosen,mm,Mental.health,50% more cases,0.390570021111893,0.0124074727296313,31.4786120931091,1.70463189800825E-217,0.366251821422652,0.414888220801133,Age
18-54,chosen,mm,Eligibility,People in and out of work are entitled,0.508593252705304,0.00806874576773046,63.0325043502219,0,0.492778801600143,0.524407703810466,Age
18-54,chosen,mm,Eligibility,Everyone is entitled but people of working age who are not disabled are required to look for work,0.526115859449204,0.00833523045277543,63.1195336985578,0,0.509779107958923,0.542452610939486,Age
18-54,chosen,mm,Eligibility,Only people in work are entitled,0.484905660377376,0.00905844668650112,53.5307737804519,0,0.467151431115958,0.502659889638794,Age
18-54,chosen,mm,Eligibility,Only people out of work are entitled,0.480654293803104,0.00873665575045214,55.0158215605815,0,0.463530763186893,0.497777824419315,Age
18-54,chosen,mm,Means.testing,People with any or no amount of income are entitled to the full benefit,0.509481668773724,0.00816456589891337,62.4015624445547,0,0.49347941366245,0.525483923884998,Age
18-54,chosen,mm,Means.testing,Only those with incomes less than £20k are entitled to the full benefit,0.499681933842252,0.00798317734864942,62.5918618639717,0,0.484035193756703,0.515328673927801,Age
18-54,chosen,mm,Means.testing,Only those with incomes less than £50k are entitled to the full benefit,0.507237256135947,0.00803471677212053,63.1306952717981,0,0.491489500636611,0.522985011635283,Age
18-54,chosen,mm,Means.testing,Only those with incomes less than £125k are entitled to the full benefit,0.483616887208563,0.007724010375314,62.6121488332287,0,0.468478105056733,0.498755669360392,Age
18-54,chosen,mm,Citizenship,"Citizens, permanent residents and anyone residing in the UK for more than six months are entitled",0.50450236966826,0.00732072628822878,68.9142511009414,0,0.490154009802656,0.518850729533864,Age
18-54,chosen,mm,Citizenship,Only citizens and permanent residents are entitled,0.509004739336506,0.00665386031158483,76.4976593287198,0,0.495963412767639,0.522046065905373,Age
18-54,chosen,mm,Citizenship,Only citizens are entitled,0.486492890995333,0.00671584330922898,72.4395833248208,0,0.47333007998343,0.499655702007236,Age
18-54,chosen,mm,Poverty,Unchanged.,0.46712211784799,0.014218147205667,32.8539373725014,1.00069447929738E-236,0.439255061397994,0.494989174297986,Age
18-54,chosen,mm,Poverty,Decreased by 100%.,0.64448188711037,0.0143004317244271,45.0673028290122,0,0.616453555967119,0.672510218253621,Age
18-54,chosen,mm,Poverty,Decreased by 75%.,0.620034542314339,0.0149782825436824,41.3955699197208,0,0.590677647978457,0.649391436650222,Age
18-54,chosen,mm,Poverty,Decreased by 50%.,0.605078809106828,0.013741852238309,44.0318232661543,0,0.578145273638871,0.632012344574785,Age
18-54,chosen,mm,Poverty,Decreased by 25%.,0.55460017196905,0.0134983959557904,41.0863760246376,0,0.52814380204664,0.58105654189146,Age
