BY,outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper,breakdown
Female,chosen,mm,Level,Child - £0; Adult - £63; Pensioner - £190,0.450171821305848,0.0139431711174496,32.2861863713677,1.0931879340581E-228,0.422843708085368,0.477499934526329,Sex
Female,chosen,mm,Level,Child - £41; Adult - £63; Pensioner - £190,0.475820379965461,0.0145497027974718,32.7030996157626,1.41108012716956E-234,0.447303486496654,0.504337273434267,Sex
Female,chosen,mm,Level,Child - £0; Adult - £145; Pensioner - £190,0.456244689889556,0.0142048123567582,32.1190226544942,2.39220626367104E-226,0.42840376926316,0.484085610515951,Sex
Female,chosen,mm,Level,Child - £41; Adult - £145; Pensioner - £190,0.496110630942089,0.0141856047988682,34.9728219541031,5.82692069110283E-268,0.468307356437389,0.523913905446789,Sex
Female,chosen,mm,Level,Child - £63; Adult - £145; Pensioner - £190,0.507449605609112,0.0139599144444592,36.3504810597549,2.58209497668355E-289,0.480088676070711,0.534810535147512,Sex
Female,chosen,mm,Level,Child - £63; Adult - £190; Pensioner - £190,0.524255319148937,0.0140521345184206,37.3078779214435,1.22296439102465E-304,0.496713641586921,0.551796996710954,Sex
Female,chosen,mm,Level,Child - £95; Adult - £190; Pensioner - £230,0.515490533562832,0.0145868610721242,35.3393736331626,1.46006035437233E-273,0.486900811213979,0.544080255911685,Sex
Female,chosen,mm,Level,Child - £41; Adult - £230; Pensioner - £230,0.533449174630765,0.0148120099460692,36.0146378900002,4.93626475355225E-284,0.50441816859782,0.56248018066371,Sex
Female,chosen,mm,Level,Child - £95; Adult - £230; Pensioner - £230,0.54199134199134,0.0143467182519906,37.7780710871728,0,0.513872290921095,0.570110393061585,Sex
Female,chosen,mm,Tax,Basic rate - 20%; Higher rate - 40%; Additional rate - 45%,0.564068692206069,0.0127875444621354,44.1107902988183,0,0.539005565609579,0.589131818802559,Sex
Female,chosen,mm,Tax,Basic rate - 23%; Higher rate - 43%; Additional rate - 48%,0.585790884718485,0.0128881386374515,45.4519384991904,0,0.560530597161321,0.611051172275649,Sex
Female,chosen,mm,Tax,Basic rate - 30%; Higher rate - 50%; Additional rate - 60%,0.524324324324327,0.0115742428057935,45.3009612051576,0,0.50163922527665,0.547009423372004,Sex
Female,chosen,mm,Tax,Basic rate - 40%; Higher rate - 60%; Additional rate - 70%,0.495686794956869,0.0114483730037807,43.2975755413605,0,0.473248396187878,0.51812519372586,Sex
Female,chosen,mm,Tax,Basic rate - 48%; Higher rate - 68%; Additional rate - 78%,0.472053872053856,0.0133151313437792,35.452438272372,2.6602854095703E-275,0.445956694170628,0.498151049937084,Sex
Female,chosen,mm,Tax,Basic rate - 50%; Higher rate - 70%; Additional rate - 80%,0.460135135135158,0.0124805753730518,36.868102742177,1.49990273403876E-297,0.435673656897639,0.484596613372677,Sex
Female,chosen,mm,Tax,Basic rate - 65%; Higher rate - 85%; Additional rate - 95%,0.396086369770584,0.0133467287131244,29.6766629699378,1.53645198360268E-193,0.369927262181433,0.422245477359734,Sex
Female,chosen,mm,Funding,Removal of income tax-free personal allowance,0.454239569313601,0.0130790165362004,34.7304071415726,2.7391294763797E-264,0.428605167949444,0.479873970677757,Sex
Female,chosen,mm,Funding,Increased government borrowing,0.47947019867549,0.0135567524569002,35.3676295410592,5.37264111998298E-274,0.452899452112641,0.506040945238339,Sex
Female,chosen,mm,Funding,Corporation tax increase,0.531145344943071,0.0125636438926064,42.2763769399453,0,0.506521055398976,0.555769634487166,Sex
Female,chosen,mm,Funding,Tax for businesses based on carbon emissions,0.501344086021503,0.0128395303033615,39.0469179304985,0,0.476179069048504,0.526509102994502,Sex
Female,chosen,mm,Funding,Tax for individuals based on carbon emissions,0.496617050067658,0.0130135280530903,38.1615998399239,0,0.471111003771799,0.522123096363516,Sex
Female,chosen,mm,Funding,Tax on wealth,0.549295774647846,0.0123224569458769,44.5768061564735,0,0.525144202832882,0.57344734646281,Sex
Female,chosen,mm,Funding,VAT increase,0.487951807228885,0.0118113822325307,41.3119986825064,0,0.464801923445489,0.511101691012282,Sex
Female,chosen,mm,Life.expectancy,0 more or less years on average,0.510709504685402,0.0115397711752836,44.2564672148146,0,0.488091968792012,0.533327040578791,Sex
Female,chosen,mm,Life.expectancy,5 fewer years on average,0.467654986522911,0.0125691066133291,37.2067005961252,5.31746807524759E-303,0.443019990242942,0.49228998280288,Sex
Female,chosen,mm,Life.expectancy,3 fewer years on average,0.485637942551767,0.0125234032043319,38.778432238274,0,0.461092523307403,0.510183361796131,Sex
