BY,outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper,breakdown
Right,chosen,mm,Level,Child - £0; Adult - £63; Pensioner - £190,0.442122186495179,0.0187755875411043,23.5477151128968,1.32488054023445E-122,0.405322711126035,0.478921661864322,leftright
Right,chosen,mm,Level,Child - £41; Adult - £63; Pensioner - £190,0.513599999999996,0.0198135323501979,25.9216777161326,3.79449851692224E-148,0.474766190187089,0.552433809812904,leftright
Right,chosen,mm,Level,Child - £0; Adult - £145; Pensioner - £190,0.486153846153848,0.0177933028901965,27.3222936266488,2.30541634853426E-164,0.45127961332305,0.521028078984645,leftright
Right,chosen,mm,Level,Child - £41; Adult - £145; Pensioner - £190,0.488038277511964,0.0186514017862512,26.1663055198199,6.42924829871873E-151,0.451482201749726,0.524594353274202,leftright
Right,chosen,mm,Level,Child - £63; Adult - £145; Pensioner - £190,0.5024154589372,0.019692013217119,25.5136665508854,1.39033106024364E-143,0.463819822248561,0.54101109562584,leftright
Right,chosen,mm,Level,Child - £63; Adult - £190; Pensioner - £190,0.506998444790049,0.0190546944628958,26.607534735196,5.55350256697307E-156,0.469651929906358,0.54434495967374,leftright
Right,chosen,mm,Level,Child - £95; Adult - £190; Pensioner - £230,0.512383900928793,0.0192781038391604,26.5785424336166,1.20192481387921E-155,0.474599511713816,0.550168290143771,leftright
Right,chosen,mm,Level,Child - £41; Adult - £230; Pensioner - £230,0.511737089201878,0.0186759700408641,27.4008304833521,2.6807392159213E-165,0.475132860545436,0.548341317858321,leftright
Right,chosen,mm,Level,Child - £95; Adult - £230; Pensioner - £230,0.535885167464117,0.0195577808769155,27.40010080063,2.73494900268072E-165,0.497552621327837,0.574217713600398,leftright
Right,chosen,mm,Tax,Basic rate - 20%; Higher rate - 40%; Additional rate - 45%,0.596852300242134,0.0175087119029832,34.0888755009122,1.07818169498735E-254,0.562535855496599,0.631168744987669,leftright
Right,chosen,mm,Tax,Basic rate - 23%; Higher rate - 43%; Additional rate - 48%,0.638349514563111,0.0165096087327588,38.6653327099438,0,0.605991276048056,0.670707753078166,leftright
Right,chosen,mm,Tax,Basic rate - 30%; Higher rate - 50%; Additional rate - 60%,0.534076827757128,0.0168989961855107,31.604056353066,3.24745255520927E-219,0.500955403858647,0.567198251655609,leftright
Right,chosen,mm,Tax,Basic rate - 40%; Higher rate - 60%; Additional rate - 70%,0.481751824817516,0.0174425038610502,27.6194191301449,6.50468036938834E-168,0.447565145449657,0.515938504185375,leftright
Right,chosen,mm,Tax,Basic rate - 48%; Higher rate - 68%; Additional rate - 78%,0.439900867410142,0.0168292329659819,26.1390919181726,1.31130025116473E-150,0.406916176909383,0.4728855579109,leftright
Right,chosen,mm,Tax,Basic rate - 50%; Higher rate - 70%; Additional rate - 80%,0.424354243542434,0.0163149703297843,26.0101143284178,3.80534106353578E-149,0.392377489287217,0.456330997797651,leftright
Right,chosen,mm,Tax,Basic rate - 65%; Higher rate - 85%; Additional rate - 95%,0.379525593008739,0.0191983345850495,19.7686727110324,5.54147204157261E-87,0.341897548658892,0.417153637358586,leftright
Right,chosen,mm,Funding,Removal of income tax-free personal allowance,0.456441717791412,0.0182024214304285,25.0758790271931,9.1174634368263E-139,0.420765627356352,0.492117808226472,leftright
Right,chosen,mm,Funding,Increased government borrowing,0.444038929440389,0.0180268155465079,24.6321336286378,5.71968831110392E-134,0.408707020213286,0.479370838667491,leftright
Right,chosen,mm,Funding,Corporation tax increase,0.508054522924414,0.0173969005781978,29.2037377946,1.73846863560477E-187,0.473957224348522,0.542151821500305,leftright
Right,chosen,mm,Funding,Tax for businesses based on carbon emissions,0.544785276073622,0.0178388803356625,30.5392079448236,7.86530280259706E-205,0.509821713091203,0.57974883905604,leftright
Right,chosen,mm,Funding,Tax for individuals based on carbon emissions,0.501237623762373,0.0184878832393271,27.1116826774495,7.17070741792264E-162,0.46500203846291,0.537473209061836,leftright
