outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper
chosen,mm,Level,Child - £0; Adult - £63; Pensioner - £190,0.4597849462365505,0.010336169475736505,44.483108303890155,0,0.4395264263260047,0.48004346614709625
chosen,mm,Level,Child - £41; Adult - £63; Pensioner - £190,0.47869134739561436,0.01036480260767097,46.18431874827368,0,0.45837670757771243,0.4990059872135163
chosen,mm,Level,Child - £0; Adult - £145; Pensioner - £190,0.4677419354838629,0.010279855770827306,45.50082665665841,0,0.44759378840677516,0.4878900825609506
chosen,mm,Level,Child - £41; Adult - £145; Pensioner - £190,0.48194325021496576,0.010360772777148544,46.51614899594435,0,0.4616365087197516,0.5022499917101799
chosen,mm,Level,Child - £63; Adult - £145; Pensioner - £190,0.5102934734997696,0.010462497863609109,48.77357970840631,0,0.4897873544987685,0.5307995925007707
chosen,mm,Level,Child - £63; Adult - £190; Pensioner - £190,0.5289855072463862,0.010305887638518273,51.32847609062823,0,0.5087863386461738,0.5491846758465985
chosen,mm,Level,Child - £95; Adult - £190; Pensioner - £230,0.5171821305841916,0.01035696050712799,49.93570557966793,0,0.49688286100091705,0.5374814001674662
chosen,mm,Level,Child - £41; Adult - £230; Pensioner - £230,0.522522522522447,0.010345898208228468,50.50528354385566,0,0.5022449346466018,0.5428001103982922
chosen,mm,Level,Child - £95; Adult - £230; Pensioner - £230,0.5335951134379473,0.010420547708732058,51.206052537028654,0,0.513171215229651,0.5540190116462436
chosen,mm,Tax,Basic rate - 20%; Higher rate - 40%; Additional rate - 45%,0.5691436187937233,0.00903971185959418,62.96037170583819,0,0.5514261091182991,0.5868611284691475
chosen,mm,Tax,Basic rate - 23%; Higher rate - 43%; Additional rate - 48%,0.5792294807370302,0.009036207564433274,64.10094905487686,0,0.5615188393539126,0.5969401221201478
chosen,mm,Tax,Basic rate - 30%; Higher rate - 50%; Additional rate - 60%,0.5312813650050191,0.009127793980116481,58.204793640427816,0,0.5133912175456893,0.5491715124643489
chosen,mm,Tax,Basic rate - 40%; Higher rate - 60%; Additional rate - 70%,0.49817457683373767,0.009109151586736555,54.68945950565894,0,0.4803209677940181,0.5160281858734572
chosen,mm,Tax,Basic rate - 48%; Higher rate - 68%; Additional rate - 78%,0.47086561131692006,0.009160870985663167,51.3996553443257,0,0.4529106341180023,0.4888205885158378
chosen,mm,Tax,Basic rate - 50%; Higher rate - 70%; Additional rate - 80%,0.45320362294532945,0.009117775564376871,49.70550324971751,0,0.43533311122003143,0.4710741346706275
chosen,mm,Tax,Basic rate - 65%; Higher rate - 85%; Additional rate - 95%,0.3970390309555792,0.008975263006573678,44.23703580215746,0,0.3794478387109201,0.4146302232002383
