outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper
chosen,mm,Level,Child - £0; Adult - £63; Pensioner - £190,0.459784946,0.010336169,44.4831083,0,0.439526426,0.480043466
chosen,mm,Level,Child - £41; Adult - £63; Pensioner - £190,0.478691347,0.010364803,46.18431875,0,0.458376708,0.499005987
chosen,mm,Level,Child - £0; Adult - £145; Pensioner - £190,0.467741935,0.010279856,45.50082666,0,0.447593788,0.487890083
chosen,mm,Level,Child - £41; Adult - £145; Pensioner - £190,0.48194325,0.010360773,46.516149,0,0.461636509,0.502249992
chosen,mm,Level,Child - £63; Adult - £145; Pensioner - £190,0.510293473,0.010462498,48.77357971,0,0.489787354,0.530799593
chosen,mm,Level,Child - £63; Adult - £190; Pensioner - £190,0.528985507,0.010305888,51.32847609,0,0.508786339,0.549184676
chosen,mm,Level,Child - £95; Adult - £190; Pensioner - £230,0.517182131,0.010356961,49.93570558,0,0.496882861,0.5374814
chosen,mm,Level,Child - £41; Adult - £230; Pensioner - £230,0.522522523,0.010345898,50.50528354,0,0.502244935,0.54280011
chosen,mm,Level,Child - £95; Adult - £230; Pensioner - £230,0.533595113,0.010420548,51.20605254,0,0.513171215,0.554019012
chosen,mm,Tax,Basic rate - 20%; Higher rate - 40%; Additional rate - 45%,0.569143619,0.009039712,62.96037171,0,0.551426109,0.586861128
chosen,mm,Tax,Basic rate - 23%; Higher rate - 43%; Additional rate - 48%,0.579229481,0.009036208,64.10094905,0,0.561518839,0.596940122
chosen,mm,Tax,Basic rate - 30%; Higher rate - 50%; Additional rate - 60%,0.531281365,0.009127794,58.20479364,0,0.513391218,0.549171512
chosen,mm,Tax,Basic rate - 40%; Higher rate - 60%; Additional rate - 70%,0.498174577,0.009109152,54.68945951,0,0.480320968,0.516028186
chosen,mm,Tax,Basic rate - 48%; Higher rate - 68%; Additional rate - 78%,0.470865611,0.009160871,51.39965534,0,0.452910634,0.488820589
chosen,mm,Tax,Basic rate - 50%; Higher rate - 70%; Additional rate - 80%,0.453203623,0.009117776,49.70550325,0,0.435333111,0.471074135
chosen,mm,Tax,Basic rate - 65%; Higher rate - 85%; Additional rate - 95%,0.397039031,0.008975263,44.2370358,0,0.379447839,0.414630223
chosen,mm,Funding,Removal of income tax-free personal allowance,0.463218005,0.009139294,50.68422122,0,0.445305317,0.481130692
chosen,mm,Funding,Increased government borrowing,0.46812749,0.009092195,51.48674056,0,0.450307115,0.485947865
chosen,mm,Funding,Corporation tax increase,0.525117214,0.009138751,57.46050392,0,0.507205592,0.543028836
chosen,mm,Funding,Tax for businesses based on carbon emissions,0.511260504,0.009164879,55.78475162,0,0.493297671,0.529223337
chosen,mm,Funding,Tax for individuals based on carbon emissions,0.490400808,0.009174771,53.45101261,0,0.472418587,0.508383029
chosen,mm,Funding,Tax on wealth,0.552984574,0.009104882,60.7349513,0,0.535139333,0.570829815
chosen,mm,Funding,VAT increase,0.489199069,0.009113138,53.68063938,0,0.471337647,0.507060492
chosen,mm,Life.expectancy,0 more or less years on average,0.510210914,0.009146863,55.77987628,0,0.492283391,0.528138437
chosen,mm,Life.expectancy,5 fewer years on average,0.462207358,0.009118022,50.69162441,0,0.444336363,0.480078353
chosen,mm,Life.expectancy,3 fewer years on average,0.481543624,0.009153268,52.60892839,0,0.463603548,0.4994837
chosen,mm,Life.expectancy,1 less year on average,0.507104195,0.00919569,55.14585446,0,0.489080973,0.525127417
chosen,mm,Life.expectancy,1 more year on average,0.488674217,0.009123545,53.56188169,0,0.470792398,0.506556036
chosen,mm,Life.expectancy,3 more years on average,0.519288829,0.009151157,56.74570368,0,0.501352892,0.537224767
chosen,mm,Life.expectancy,5 more years on average,0.530856005,0.009090342,58.39780526,0,0.513039263,0.548672748
chosen,mm,Mental.health,Same number of cases,0.514298094,0.010403629,49.4344914,0,0.493907356,0.534688831
chosen,mm,Mental.health,50% fewer cases,0.557320739,0.010292546,54.14799408,0,0.537147718,0.577493759
chosen,mm,Mental.health,25% fewer cases,0.513617021,0.010310633,49.8143039,0,0.493408551,0.533825491
